coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,message,rain,snow
"{'lon': 59.15, 'lat': 53.14}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 283.15, 'pressure': 1018, 'humidity': 71, 'temp_min': 283.15, 'temp_max': 283.15}",10000.0,"{'speed': 6, 'deg': 240}",{'all': 75},1572095298.0,"{'type': 1, 'id': 8976, 'country': 'RU', 'sunrise': 1572058136, 'sunset': 1572093939}",18000.0,584051.0,Svetlogorsk,200,,,
"{'lon': 74.49, 'lat': 15.34}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 295.15, 'pressure': 1012, 'humidity': 94, 'temp_min': 295.15, 'temp_max': 295.15}",8000.0,"{'speed': 5.1, 'deg': 180}",{'all': 75},1572095298.0,"{'type': 1, 'id': 9229, 'country': 'IN', 'sunrise': 1572051365, 'sunset': 1572093347}",19800.0,1273574.0,Vaini,200,,,
,,,,,,,,,,,,404,city not found,,
"{'lon': 124.89, 'lat': -9.11}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 295.93, 'pressure': 1010, 'humidity': 85, 'temp_min': 295.93, 'temp_max': 295.93, 'sea_level': 1010, 'grnd_level': 976}",,"{'speed': 0.54, 'deg': 141}",{'all': 45},1572095298.0,"{'country': 'ID', 'sunrise': 1572037977, 'sunset': 1572082545}",28800.0,1651103.0,Atambua,200,,,
"{'lon': 41.69, 'lat': 13.93}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 311.35, 'pressure': 1006, 'humidity': 13, 'temp_min': 311.35, 'temp_max': 311.35, 'sea_level': 1006, 'grnd_level': 991}",,"{'speed': 4.67, 'deg': 73}",{'all': 1},1572095298.0,"{'country': 'ER', 'sunrise': 1572059161, 'sunset': 1572101294}",10800.0,338345.0,Edd,200,,,
"{'lon': 15.63, 'lat': 78.22}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,"{'temp': 270.15, 'pressure': 1002, 'humidity': 86, 'temp_min': 270.15, 'temp_max': 270.15}",6000.0,"{'speed': 2.6, 'deg': 120}",{'all': 90},1572095298.0,"{'type': 1, 'id': 1663, 'country': 'NO', 'sunrise': 1572083409, 'sunset': 1572089554}",7200.0,2729907.0,Longyearbyen,200,,,
"{'lon': -121.92, 'lat': 36.62}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 285.46, 'pressure': 1013, 'humidity': 62, 'temp_min': 283.15, 'temp_max': 287.15}",16093.0,"{'speed': 2.95, 'deg': 338}",{'all': 1},1572095299.0,"{'type': 1, 'id': 4980, 'country': 'US', 'sunrise': 1572099902, 'sunset': 1572139081}",-25200.0,5380437.0,Pacific Grove,200,,,
"{'lon': -127.17, 'lat': 54.78}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 274.15, 'pressure': 1035, 'humidity': 99, 'temp_min': 274.15, 'temp_max': 274.15}",14484.0,"{'speed': 2.1, 'deg': 280}",{'all': 75},1572095299.0,"{'type': 1, 'id': 990, 'country': 'CA', 'sunrise': 1572103159, 'sunset': 1572138344}",-25200.0,6149996.0,Smithers,200,,,
,,,,,,,,,,,,404,city not found,,
"{'lon': -74.98, 'lat': 39.31}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 286.48, 'pressure': 1024, 'humidity': 82, 'temp_min': 284.26, 'temp_max': 288.71}",16093.0,"{'speed': 1.5, 'deg': 10}",{'all': 1},1572095299.0,"{'type': 1, 'id': 4902, 'country': 'US', 'sunrise': 1572088851, 'sunset': 1572127603}",-14400.0,4501427.0,Port Elizabeth,200,,{},
"{'lon': 139.9, 'lat': 69.3}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 256.47, 'pressure': 1017, 'humidity': 79, 'temp_min': 256.47, 'temp_max': 256.47, 'sea_level': 1017, 'grnd_level': 958}",,"{'speed': 0.38, 'deg': 212}",{'all': 100},1572095299.0,"{'country': 'RU', 'sunrise': 1572042750, 'sunset': 1572070568}",36000.0,2028164.0,Deputatskiy,200,,,
"{'lon': 18.26, 'lat': 0.05}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",model,"{'temp': 297.93, 'pressure': 1009, 'humidity': 90, 'temp_min': 297.93, 'temp_max': 297.93, 'sea_level': 1009, 'grnd_level': 973}",,"{'speed': 1.87, 'deg': 151}",{'all': 89},1572095299.0,"{'country': 'CD', 'sunrise': 1572064049, 'sunset': 1572107652}",3600.0,2312895.0,Mbandaka,200,,{'3h': 3.19},
"{'lon': 128.87, 'lat': 71.64}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 259.64, 'pressure': 1014, 'humidity': 87, 'temp_min': 259.64, 'temp_max': 259.64, 'sea_level': 1014, 'grnd_level': 998}",,"{'speed': 1.18, 'deg': 247}",{'all': 91},1572095299.0,"{'country': 'RU', 'sunrise': 1572046648, 'sunset': 1572071964}",32400.0,2015306.0,Tiksi,200,,,
"{'lon': 25.52, 'lat': 69.47}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 271.15, 'pressure': 1003, 'humidity': 79, 'temp_min': 271.15, 'temp_max': 271.15}",10000.0,"{'speed': 3.6, 'deg': 30}",{'all': 20},1572095299.0,"{'type': 1, 'id': 1646, 'country': 'NO', 'sunrise': 1572070365, 'sunset': 1572097852}",7200.0,779350.0,Karasjok,200,,,
"{'lon': -73.75, 'lat': 42.65}","[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,"{'temp': 279.38, 'pressure': 1025, 'humidity': 100, 'temp_min': 277.04, 'temp_max': 281.48}",1609.0,"{'speed': 1.61, 'deg': 346}",{'all': 90},1572095300.0,"{'type': 1, 'id': 3797, 'country': 'US', 'sunrise': 1572088856, 'sunset': 1572127007}",-14400.0,5106834.0,Albany,200,,{},
"{'lon': 115.35, 'lat': -33.64}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 289.63, 'pressure': 1012, 'humidity': 49, 'temp_min': 288.15, 'temp_max': 290.93}",,"{'speed': 5.3, 'deg': 165}",{'all': 100},1572095300.0,"{'type': 3, 'id': 2011706, 'country': 'AU', 'sunrise': 1572038712, 'sunset': 1572086389}",28800.0,2075265.0,Busselton,200,,,
"{'lon': -80.17, 'lat': 33.02}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 294.02, 'pressure': 1018, 'humidity': 94, 'temp_min': 290.15, 'temp_max': 297.59}",16093.0,{'speed': 1.5},{'all': 40},1572095300.0,"{'type': 1, 'id': 3894, 'country': 'US', 'sunrise': 1572089601, 'sunset': 1572129343}",-14400.0,4597919.0,Summerville,200,,,
"{'lon': 26.89, 'lat': -33.59}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 294.26, 'pressure': 1013, 'humidity': 79, 'temp_min': 294.26, 'temp_max': 294.26}",,"{'speed': 0.45, 'deg': 234, 'gust': 1.79}",{'all': 68},1572095300.0,"{'type': 3, 'id': 2011314, 'country': 'ZA', 'sunrise': 1572059931, 'sunset': 1572107628}",7200.0,964432.0,Port Alfred,200,,,
"{'lon': -77.06, 'lat': 26.54}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",model,"{'temp': 299.62, 'pressure': 1016, 'humidity': 84, 'temp_min': 299.62, 'temp_max': 299.62, 'sea_level': 1016, 'grnd_level': 1016}",,"{'speed': 6.81, 'deg': 109}",{'all': 15},1572095300.0,"{'country': 'BS', 'sunrise': 1572088411, 'sunset': 1572129040}",-14400.0,3571913.0,Marsh Harbour,200,,,
"{'lon': 102.47, 'lat': 71.98}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 261.85, 'pressure': 1001, 'humidity': 89, 'temp_min': 261.85, 'temp_max': 261.85, 'sea_level': 1001, 'grnd_level': 998}",,"{'speed': 2.07, 'deg': 190}",{'all': 100},1572095300.0,"{'country': 'RU', 'sunrise': 1572053222, 'sunset': 1572078061}",25200.0,2022572.0,Khatanga,200,,,
"{'lon': -4.42, 'lat': 5.21}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 302.15, 'pressure': 1012, 'humidity': 79, 'temp_min': 302.15, 'temp_max': 302.15}",10000.0,"{'speed': 5.1, 'deg': 240}",{'all': 75},1572095301.0,"{'type': 1, 'id': 1162, 'country': 'CI', 'sunrise': 1572069763, 'sunset': 1572112824}",0.0,2290582.0,Jackville,200,,,
"{'lon': 141.86, 'lat': 39.28}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,"{'temp': 286.57, 'pressure': 1010, 'humidity': 91, 'temp_min': 286.57, 'temp_max': 286.57, 'sea_level': 1010, 'grnd_level': 995}",,"{'speed': 1.79, 'deg': 284}",{'all': 68},1572095301.0,"{'country': 'JP', 'sunrise': 1572036767, 'sunset': 1572075610}",32400.0,2112444.0,Kamaishi,200,,,
"{'lon': -134.97, 'lat': -23.12}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 295.23, 'pressure': 1010, 'humidity': 83, 'temp_min': 295.23, 'temp_max': 295.23, 'sea_level': 1010, 'grnd_level': 1010}",,"{'speed': 10.83, 'deg': 143}",{'all': 75},1572095301.0,"{'country': 'PF', 'sunrise': 1572099500, 'sunset': 1572145746}",-32400.0,4030556.0,Rikitea,200,,{'3h': 0.19},
"{'lon': -94.42, 'lat': 30.04}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 284.15, 'pressure': 1011, 'humidity': 87, 'temp_min': 283.15, 'temp_max': 285.15}",16093.0,"{'speed': 4.6, 'deg': 290}",{'all': 90},1572095301.0,"{'type': 1, 'id': 3495, 'country': 'US', 'sunrise': 1572092812, 'sunset': 1572132972}",-18000.0,4732862.0,Nome,200,,,
"{'lon': 12.58, 'lat': 53.77}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 290.91, 'pressure': 1010, 'humidity': 67, 'temp_min': 290.15, 'temp_max': 291.48}",10000.0,"{'speed': 6.2, 'deg': 210, 'gust': 11.3}",{'all': 75},1572095301.0,"{'type': 1, 'id': 1847, 'country': 'DE', 'sunrise': 1572069419, 'sunset': 1572105008}",7200.0,2823398.0,Teterow,200,,,
"{'lon': -1.35, 'lat': 60.4}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 282.15, 'pressure': 992, 'humidity': 70, 'temp_min': 282.15, 'temp_max': 282.15}",10000.0,"{'speed': 10.3, 'deg': 250}",{'all': 71},1572095301.0,"{'type': 1, 'id': 1447, 'country': 'GB', 'sunrise': 1572073949, 'sunset': 1572107164}",3600.0,2654970.0,Brae,200,,{'3h': 0.94},
"{'lon': -155.08, 'lat': 19.71}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 295.17, 'pressure': 1015, 'humidity': 78, 'temp_min': 293.15, 'temp_max': 297.15}",16093.0,"{'speed': 1.5, 'deg': 220}",{'all': 90},1572095302.0,"{'type': 1, 'id': 7881, 'country': 'US', 'sunrise': 1572106724, 'sunset': 1572148174}",-36000.0,5855927.0,Hilo,200,,{},
"{'lon': 40.04, 'lat': 48.03}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 293.15, 'pressure': 1020, 'humidity': 49, 'temp_min': 293.15, 'temp_max': 293.15}",10000.0,"{'speed': 3, 'deg': 160}",{'all': 0},1572095302.0,"{'type': 1, 'id': 8971, 'country': 'RU', 'sunrise': 1572062078, 'sunset': 1572099169}",10800.0,582447.0,Almaznyy,200,,,
"{'lon': -114.38, 'lat': 62.45}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 263.15, 'pressure': 1030, 'humidity': 85, 'temp_min': 263.15, 'temp_max': 263.15}",24140.0,"{'speed': 4.1, 'deg': 300}",{'all': 75},1572095229.0,"{'type': 1, 'id': 1007, 'country': 'CA', 'sunrise': 1572101608, 'sunset': 1572133756}",-21600.0,6185377.0,Yellowknife,200,,,
"{'lon': 138.6, 'lat': -33.21}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 279.67, 'pressure': 1020, 'humidity': 80, 'temp_min': 279.67, 'temp_max': 279.67, 'sea_level': 1020, 'grnd_level': 962}",,"{'speed': 3.12, 'deg': 197}",{'all': 0},1572095302.0,"{'country': 'AU', 'sunrise': 1572033170, 'sunset': 1572080772}",37800.0,2069194.0,Jamestown,200,,,
"{'lon': -102.99, 'lat': 49.14}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 276.07, 'pressure': 1005, 'humidity': 74, 'temp_min': 275.93, 'temp_max': 276.15}",16093.0,"{'speed': 14.4, 'deg': 310, 'gust': 19.5}",{'all': 90},1572095302.0,"{'type': 1, 'id': 3771, 'country': 'CA', 'sunrise': 1572096573, 'sunset': 1572133324}",-21600.0,5949568.0,Estevan,200,,,
"{'lon': 170.27, 'lat': 69.7}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 258.51, 'pressure': 1024, 'humidity': 80, 'temp_min': 258.51, 'temp_max': 258.51, 'sea_level': 1024, 'grnd_level': 1023}",,"{'speed': 4.57, 'deg': 148}",{'all': 0},1572095302.0,"{'country': 'RU', 'sunrise': 1572122298, 'sunset': 1572149232}",43200.0,2122090.0,Pevek,200,,,
"{'lon': 136.64, 'lat': 50.72}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 277.5, 'pressure': 1007, 'humidity': 98, 'temp_min': 277.5, 'temp_max': 277.5, 'sea_level': 1007, 'grnd_level': 951}",,"{'speed': 1.27, 'deg': 27}",{'all': 100},1572095302.0,"{'country': 'RU', 'sunrise': 1572039191, 'sunset': 1572075692}",36000.0,2016307.0,Solnechnyy,200,,{'3h': 3},
"{'lon': 93.51, 'lat': 42.84}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 280.79, 'pressure': 1021, 'humidity': 22, 'temp_min': 280.79, 'temp_max': 280.79, 'sea_level': 1021, 'grnd_level': 911}",,"{'speed': 2.15, 'deg': 334}",{'all': 0},1572095302.0,"{'country': 'CN', 'sunrise': 1572048697, 'sunset': 1572086887}",28800.0,1529484.0,Hami,200,,,
,,,,,,,,,,,,404,city not found,,
"{'lon': 57.66, 'lat': -20.01}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 299.79, 'pressure': 1014, 'humidity': 69, 'temp_min': 299.26, 'temp_max': 300.15}",10000.0,"{'speed': 4.6, 'deg': 190}",{'all': 40},1572095303.0,"{'type': 1, 'id': 2061, 'country': 'MU', 'sunrise': 1572053486, 'sunset': 1572099305}",14400.0,934479.0,Grand Gaube,200,,,
"{'lon': 39.37, 'lat': -10.3}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",model,"{'temp': 303.35, 'pressure': 1010, 'humidity': 49, 'temp_min': 303.35, 'temp_max': 303.35, 'sea_level': 1010, 'grnd_level': 967}",,"{'speed': 2.44, 'deg': 64}",{'all': 49},1572095303.0,"{'country': 'TZ', 'sunrise': 1572058432, 'sunset': 1572103137}",10800.0,877784.0,Mtama,200,,,
"{'lon': 126.62, 'lat': 45.77}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.4, 'pressure': 1016, 'humidity': 55, 'temp_min': 275.15, 'temp_max': 278.15}",10000.0,"{'speed': 4, 'deg': 190}",{'all': 0},1572095303.0,"{'type': 1, 'id': 9678, 'country': 'CN', 'sunrise': 1572041032, 'sunset': 1572078660}",28800.0,2037013.0,Harbin,200,,,
"{'lon': -60.23, 'lat': -38.31}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",model,"{'temp': 287.32, 'pressure': 1010, 'humidity': 90, 'temp_min': 287.32, 'temp_max': 287.32, 'sea_level': 1010, 'grnd_level': 1001}",,"{'speed': 4.45, 'deg': 75}",{'all': 100},1572095303.0,"{'country': 'AR', 'sunrise': 1572080422, 'sunset': 1572128952}",-10800.0,3833859.0,Barrow,200,,{'3h': 5.06},
"{'lon': -67.52, 'lat': -46.43}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",model,"{'temp': 289.41, 'pressure': 998, 'humidity': 37, 'temp_min': 289.41, 'temp_max': 289.41, 'sea_level': 998, 'grnd_level': 987}",,"{'speed': 10.56, 'deg': 297}",{'all': 59},1572095303.0,"{'country': 'AR', 'sunrise': 1572081323, 'sunset': 1572131550}",-10800.0,3863379.0,Mar del Plata,200,,,
"{'lon': 3.19, 'lat': 13.05}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,"{'temp': 308.03, 'pressure': 1009, 'humidity': 27, 'temp_min': 308.03, 'temp_max': 308.03, 'sea_level': 1009, 'grnd_level': 985}",,"{'speed': 3.66, 'deg': 173}",{'all': 100},1572095303.0,"{'country': 'NE', 'sunrise': 1572068355, 'sunset': 1572110579}",3600.0,2445488.0,Dosso,200,,,
"{'lon': -0.6, 'lat': 45.6}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 294.66, 'pressure': 1018, 'humidity': 53, 'temp_min': 293.71, 'temp_max': 295.37}",10000.0,"{'speed': 4.1, 'deg': 170}",{'all': 82},1572095304.0,"{'type': 1, 'id': 6452, 'country': 'FR', 'sunrise': 1572071577, 'sunset': 1572109176}",7200.0,3026644.0,Souillac,200,,,
"{'lon': 116.85, 'lat': -20.74}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 299.72, 'pressure': 1010, 'humidity': 67, 'temp_min': 299.72, 'temp_max': 299.72, 'sea_level': 1010, 'grnd_level': 1010}",,"{'speed': 8.85, 'deg': 263}",{'all': 0},1572095304.0,"{'country': 'AU', 'sunrise': 1572039242, 'sunset': 1572085139}",28800.0,6620339.0,Karratha,200,,,
"{'lon': 149.07, 'lat': -23.58}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",model,"{'temp': 293.92, 'pressure': 1015, 'humidity': 72, 'temp_min': 293.92, 'temp_max': 293.92, 'sea_level': 1015, 'grnd_level': 995}",,"{'speed': 6.3, 'deg': 46}",{'all': 18},1572095304.0,"{'country': 'AU', 'sunrise': 1572031335, 'sunset': 1572077581}",36000.0,2175403.0,Bluff,200,,,
,,,,,,,,,,,,404,city not found,,
"{'lon': 106.34, 'lat': 39.23}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 281.48, 'pressure': 837, 'humidity': 14, 'temp_min': 281.48, 'temp_max': 281.48}",,"{'speed': 1.34, 'deg': 135, 'gust': 2.68}",{'all': 0},1572095304.0,"{'type': 3, 'id': 2000025, 'country': 'CN', 'sunrise': 1572045294, 'sunset': 1572084131}",28800.0,1794971.0,Shitanjing,200,,,
